Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Y:\MS-data\2025\Jesus\dox\A1_20250325224911.mzML	Y:\MS-data\2025\Jesus\dox\A2.mzML	Y:\MS-data\2025\Jesus\dox\A3.mzML	Y:\MS-data\2025\Jesus\dox\A4.mzML	Y:\MS-data\2025\Jesus\dox\A5.mzML	Y:\MS-data\2025\Jesus\dox\B1.mzML	Y:\MS-data\2025\Jesus\dox\B2.mzML	Y:\MS-data\2025\Jesus\dox\B3.mzML	Y:\MS-data\2025\Jesus\dox\B4.mzML	Y:\MS-data\2025\Jesus\dox\B5.mzML	Y:\MS-data\2025\Jesus\dox\C1.mzML	Y:\MS-data\2025\Jesus\dox\C2.mzML	Y:\MS-data\2025\Jesus\dox\C3.mzML	Y:\MS-data\2025\Jesus\dox\C4.mzML	Y:\MS-data\2025\Jesus\dox\C5.mzML	Y:\MS-data\2025\Jesus\dox\D1.mzML	Y:\MS-data\2025\Jesus\dox\D2.mzML	Y:\MS-data\2025\Jesus\dox\D3.mzML	Y:\MS-data\2025\Jesus\dox\D4.mzML	Y:\MS-data\2025\Jesus\dox\D5.mzML	Y:\MS-data\2025\Jesus\dox\E1.mzML	Y:\MS-data\2025\Jesus\dox\E2.mzML	Y:\MS-data\2025\Jesus\dox\E3.mzML	Y:\MS-data\2025\Jesus\dox\E5.mzML	Y:\MS-data\2025\Jesus\dox\F1_20250325184234.mzML	Y:\MS-data\2025\Jesus\dox\F2.mzML	Y:\MS-data\2025\Jesus\dox\F3.mzML	Y:\MS-data\2025\Jesus\dox\F4.mzML	Y:\MS-data\2025\Jesus\dox\F5.mzML	Y:\MS-data\2025\Jesus\dox\G1.mzML	Y:\MS-data\2025\Jesus\dox\G2.mzML	Y:\MS-data\2025\Jesus\dox\G3.mzML	Y:\MS-data\2025\Jesus\dox\G4.mzML	Y:\MS-data\2025\Jesus\dox\G5.mzML	Y:\MS-data\2025\Jesus\dox\H1.mzML	Y:\MS-data\2025\Jesus\dox\H2.mzML	Y:\MS-data\2025\Jesus\dox\H3.mzML	Y:\MS-data\2025\Jesus\dox\H4.mzML	Y:\MS-data\2025\Jesus\dox\H5.mzML
Q96SU4	OSBL9_HUMAN	OSBPL9	Oxysterol-binding protein-related protein 9	17	17	1.34985e+06	1.5529e+06	987318	1.1835e+06	1.67834e+06	1.52065e+06	1.58067e+06	1.407e+06	1.54332e+06	1.34648e+06	1.58706e+06	1.44359e+06	1.41488e+06	1.44991e+06	1.48708e+06	1.58666e+06	1.80004e+06	1.80931e+06	1.72185e+06	1.63238e+06	1.99512e+06	2.25644e+06	2.10236e+06	2.12993e+06	2.05146e+06	1.96998e+06	2.29313e+06	2.0297e+06	2.26208e+06	1.98596e+06	2.08377e+06	2.09847e+06	2.55181e+06	1.89591e+06	2.01595e+06	2.00203e+06	2.20217e+06	2.12779e+06	2.1587e+06
Q96SW2	CRBN_HUMAN	CRBN	Protein cereblon	14	14	1.31294e+06	1.51721e+06	938030	1.2373e+06	1.45286e+06	1.46493e+06	1.57735e+06	1.59038e+06	1.391e+06	1.15936e+06	1.67049e+06	1.29983e+06	1.53444e+06	1.47455e+06	1.52024e+06	1.5611e+06	1.54408e+06	1.57678e+06	1.49006e+06	1.52835e+06	1.91228e+06	1.99079e+06	2.18571e+06	1.9098e+06	2.10074e+06	2.06583e+06	2.09264e+06	2.14489e+06	1.77246e+06	1.97139e+06	1.92564e+06	1.93962e+06	2.17846e+06	1.96944e+06	2.03587e+06	2.09781e+06	2.14341e+06	2.31937e+06	2.19558e+06
Q96SY0	INT14_HUMAN	INTS14	Integrator complex subunit 14	10	10	1.24008e+06	1.19037e+06	1.30558e+06	1.30794e+06	944033	941838	1.09984e+06	1.13067e+06	1.11169e+06	948094	1.00919e+06	1.3301e+06	1.10369e+06	975271	1.14761e+06	991069	960971	864738	1.07169e+06	892791	825366	869466	867775	793672	762377	740234	754038		479711	732508	744063	846943	839341	665158	874293	761706	835341	557262	918731
Q96SZ5	AEDO_HUMAN	ADO	2-aminoethanethiol dioxygenase	11	11	3.25818e+06	3.39619e+06	2.27544e+06	3.12303e+06	3.73534e+06	3.54749e+06	3.3372e+06	3.31087e+06	3.19919e+06	2.93979e+06	3.52382e+06	3.30705e+06	3.66173e+06	3.61762e+06	3.45992e+06	3.71452e+06	3.3599e+06	3.17092e+06	3.3598e+06	3.73792e+06	4.24936e+06	4.09404e+06	4.36391e+06	4.2553e+06	4.13602e+06	3.92638e+06	3.69122e+06	3.97486e+06	3.9569e+06	3.8842e+06	3.49616e+06	4.09199e+06	4.18201e+06	3.83113e+06	3.81283e+06	4.27725e+06	4.16828e+06	4.63186e+06	4.09795e+06
Q96SZ6	CK5P1_HUMAN	CDK5RAP1	Mitochondrial tRNA methylthiotransferase CDK5RAP1	7	7	1.76451e+06	2.83109e+06	1.44189e+06	2.53871e+06	1.7225e+06	1.89805e+06	2.98432e+06	1.5958e+06	1.75606e+06	2.52922e+06	2.0407e+06	2.11605e+06	1.85499e+06		2.03715e+06	2.09931e+06	2.19019e+06	2.51334e+06	2.41354e+06	2.07555e+06	884277	2.46112e+06	2.26524e+06	1.91985e+06	2.05867e+06	2.31932e+06	3.0597e+06		1.63732e+06	1.81074e+06	2.24674e+06	2.35727e+06	2.87575e+06	1.64616e+06	1.75534e+06	2.13842e+06	2.17109e+06	1.88431e+06	1.54972e+06
Q96T17	MA7D2_HUMAN	MAP7D2	MAP7 domain-containing protein 2	26	26	1.02943e+06	1.48577e+06	523990	691490	2.25949e+06	1.84098e+06	1.87873e+06	2.01523e+06	1.71643e+06	1.33631e+06	1.95299e+06	1.55134e+06	1.99469e+06		1.92876e+06	2.29089e+06	2.17235e+06	2.37622e+06	2.43145e+06	2.15856e+06	3.79223e+06	4.00979e+06	3.85879e+06	3.23773e+06	3.50096e+06	3.73638e+06	3.29129e+06	1.20024e+06	2.25859e+06	3.91393e+06	3.47996e+06	3.46407e+06	4.09565e+06	3.46336e+06	3.9992e+06	3.72448e+06	3.86615e+06	4.84722e+06	2.9345e+06
Q96T21	SEBP2_HUMAN	SECISBP2	Selenocysteine insertion sequence-binding protein 2	5	5	612031	423365	495455	528509	486060	446122	427750	443193	487223	468458	478676	502320	434440		619906	448809	485863	376079	505037	478110	181544	292402		344740	254435	378639	374859		260679	360482	261243	273777	270176	218671	290907	208392	423916	333359	345582
Q96T23	RSF1_HUMAN	RSF1	Remodeling and spacing factor 1	36	36	4.48286e+06	4.68157e+06	4.31234e+06	5.44377e+06	4.63131e+06	4.58181e+06	4.41507e+06	4.44236e+06	4.34088e+06	4.7799e+06	3.97759e+06	4.83657e+06	4.35342e+06		4.23324e+06	3.66269e+06	3.25888e+06	3.447e+06	4.91299e+06	3.40169e+06	3.82163e+06	3.83992e+06	3.91869e+06	3.50178e+06	3.55337e+06	3.31178e+06	2.95763e+06	2.65787e+06	1.44895e+06	3.05078e+06	3.42531e+06	3.34597e+06	3.2846e+06	2.64342e+06	3.31773e+06	2.87084e+06	3.46186e+06	2.4063e+06	3.54669e+06
Q96T37	RBM15_HUMAN	RBM15	RNA-binding protein 15	33	31	1.94337e+06	2.01644e+06	1.91151e+06	2.25204e+06	1.83947e+06	2.07859e+06	1.82992e+06	1.88165e+06	2.00953e+06	2.07258e+06	1.85699e+06	2.14396e+06	1.87829e+06	1.51002e+06	1.90726e+06	1.80987e+06	1.44321e+06	1.50977e+06	2.06461e+06	1.53445e+06	1.42639e+06	1.50883e+06	1.37122e+06	1.45377e+06	1.52617e+06	1.39951e+06	1.3073e+06	1.32321e+06	854133	1.39991e+06	1.3806e+06	1.30452e+06	1.54178e+06	1.22289e+06	1.38329e+06	1.27628e+06	1.4858e+06	1.28607e+06	1.5028e+06
Q96T49	PP16B_HUMAN	PPP1R16B	Protein phosphatase 1 regulatory inhibitor subunit 16B	3	3					129566	89972.4	127912	117127	85087.6	54496.3	109529	42120.4	170214		89548.3	175377	111592	143270	122455	152893	63787	115345	80732.6	77719	69614.2	83593.5	78985.2			57836.8	102103	111819		58684.1	114468	119758	129112	70331.4	104857
Q96T51	RUFY1_HUMAN	RUFY1	RUN and FYVE domain-containing protein 1	30	28	3.56584e+07	3.44576e+07	2.88311e+07	2.72237e+07	2.96149e+07	3.26116e+07	3.30876e+07	3.17313e+07	3.27507e+07	3.21968e+07	3.43127e+07	3.61996e+07	3.35523e+07	3.14993e+07	3.18863e+07	3.2486e+07	3.14201e+07	3.0464e+07	3.46325e+07	3.20877e+07	3.12049e+07	2.80222e+07	2.92573e+07	2.98078e+07	2.95149e+07	2.92926e+07	2.63612e+07	5.20223e+07	2.75114e+07	3.0141e+07	2.75087e+07	2.76249e+07	2.52286e+07	2.70281e+07	2.81478e+07	2.88094e+07	2.93779e+07	3.63011e+07	3.20529e+07
Q96T58	MINT_HUMAN	SPEN	Msx2-interacting protein	46	46	388625	451590	421383	480694	454775	478308	404400	389558	405533	413549	422985	476834	417534	391500	362073	387261	366394	348647	477979	368710	350825	376122	367296	408935	343131	346659	355822		246616	302199	303415	353522	382584	312864	342557	312889	309727	269739	370175
Q96T60	PNKP_HUMAN	PNKP	Bifunctional polynucleotide phosphatase/kinase	20	20	8.67129e+06	8.89659e+06	9.29503e+06	1.02039e+07	7.91023e+06	8.7464e+06	9.30895e+06	8.15282e+06	8.9231e+06	1.10658e+07	8.2651e+06	1.09742e+07	8.71749e+06		8.38872e+06	7.72868e+06	6.94656e+06	7.61758e+06	7.755e+06	6.98798e+06	6.21362e+06	5.97842e+06	6.25938e+06	5.24695e+06	6.84422e+06	6.88086e+06	6.84347e+06	6.36405e+06	5.7369e+06	7.1411e+06	6.2938e+06	6.32327e+06	6.16416e+06	5.30495e+06	6.21686e+06	6.76409e+06	6.71496e+06	5.98987e+06	6.04578e+06
Q96T66	NMNA3_HUMAN	NMNAT3	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3	3	3	331109	344498	443033	656068	521720	688528	278615	387761	617559	517611	450532	413613	328851		560351	371827	213061	362247	432062	302365			248582	320111	388594														277604
Q96T76	MMS19_HUMAN	MMS19	MMS19 nucleotide excision repair protein homolog	31	31	2.62613e+06	2.67835e+06	2.31948e+06	2.72605e+06	2.46788e+06	2.48702e+06	2.50987e+06	2.46346e+06	2.61103e+06	2.7734e+06	2.40543e+06	2.72656e+06	2.53149e+06	2.99501e+06	2.46352e+06	2.3902e+06	2.43559e+06	2.34658e+06	2.69501e+06	2.43891e+06	2.94061e+06	2.99249e+06	2.63501e+06	2.90027e+06	2.82834e+06	2.87568e+06	2.68539e+06	4.41645e+06	2.7988e+06	2.52245e+06	2.66989e+06	2.69727e+06	2.90311e+06	2.7372e+06	2.74877e+06	2.87215e+06	2.82857e+06	2.78142e+06	2.83386e+06
Q96T83	SL9A7_HUMAN	SLC9A7	Sodium/hydrogen exchanger 7	8	8	799657	747282	557796	737660	891148	777286	786647	720192	753121	609404	902064	773636	776419		797474	998543	864882	962786	953298	732833	1.17394e+06	1.27571e+06	1.22953e+06	1.10989e+06	1.13008e+06	1.09997e+06	1.04797e+06	1.10399e+06	946782	1.2602e+06	1.08442e+06	1.14057e+06	1.31587e+06	975313	1.24811e+06	1.05368e+06	1.29234e+06	1.68085e+06	1.05628e+06
Q96T88	UHRF1_HUMAN	UHRF1	E3 ubiquitin-protein ligase UHRF1	25	24	2.61793e+06	2.04272e+06	3.42168e+06	2.78747e+06	1.46458e+06	2.06984e+06	2.60972e+06	1.7284e+06	2.57531e+06	2.82196e+06	1.91534e+06	3.25169e+06	1.93921e+06		2.15426e+06	1.91428e+06	2.13416e+06	2.03436e+06	2.43014e+06	1.36282e+06	604288	765884	410947	1.07149e+06	922775	561309	662939			543115	501757	558562		605276	682201	670239	541680		749873
Q96TA1	NIBA2_HUMAN	NIBAN2	Protein Niban 2	19	19	5.65151e+06	5.50974e+06	5.71139e+06	4.90405e+06	4.07965e+06	4.80848e+06	4.29095e+06	4.09382e+06	4.41736e+06	4.79156e+06	4.56275e+06	6.36297e+06	5.07408e+06	4.0404e+06	4.69873e+06	4.32134e+06	4.40836e+06	4.60209e+06	4.70338e+06	4.0196e+06	4.82113e+06	4.58758e+06	4.12148e+06	4.49251e+06	3.83198e+06	4.08018e+06	3.81867e+06	4.80592e+06	3.91652e+06	4.23404e+06	3.97148e+06	3.73307e+06	3.91674e+06	3.74685e+06	3.96467e+06	4.16215e+06	4.1309e+06	4.29723e+06	3.84533e+06
Q96TA2	YMEL1_HUMAN	YME1L1	ATP-dependent zinc metalloprotease YME1L1	19	19	1.41076e+06	1.08812e+06	1.13598e+06	1.33113e+06	1.28921e+06	1.22776e+06	1.42473e+06	1.16458e+06	1.27537e+06	1.23263e+06	1.27619e+06	1.28214e+06	1.22615e+06	1.30995e+06	1.21638e+06	1.37083e+06	1.35839e+06	1.24932e+06	1.37746e+06	1.24309e+06	1.44048e+06	1.39511e+06	1.35664e+06	1.25614e+06	1.51505e+06	1.44808e+06	1.50287e+06	925879	828138	1.43924e+06	1.42205e+06	1.43847e+06	1.56056e+06	1.3562e+06	1.55331e+06	1.41483e+06	1.46688e+06	1.43799e+06	1.3621e+06
Q96TC7	RMD3_HUMAN	RMDN3	Regulator of microtubule dynamics protein 3	13	13	1.76767e+06	1.66285e+06	1.40901e+06	2.0626e+06	1.62429e+06	1.5295e+06	1.46535e+06	1.43826e+06	1.55594e+06	1.57257e+06	1.43088e+06	1.55793e+06	1.57492e+06		1.7073e+06	1.56433e+06	1.39093e+06	1.34547e+06	1.44938e+06	1.51645e+06	1.52282e+06	1.38615e+06	1.33916e+06	1.65394e+06	1.35429e+06	1.39117e+06	1.27893e+06	964402	1.40989e+06	1.48473e+06	1.49875e+06	1.23903e+06	1.62797e+06	1.36975e+06	1.50114e+06	1.63771e+06	1.66663e+06	2.02603e+06	1.73244e+06
Q99081	HTF4_HUMAN	TCF12	Transcription factor 12	10	9	1.25816e+06	1.06705e+06	1.57547e+06	1.57979e+06	903099	1.08702e+06	1.07602e+06	928443	1.24694e+06	1.03215e+06	1.17738e+06	1.33815e+06	1.11639e+06		1.16146e+06	935480	1.05895e+06	813965	901782	822501	519735	242564		481126	385625	371078	324657			369608	259677	386835			204851				452494
Q99250	SCN2A_HUMAN	SCN2A	Sodium channel protein type 2 subunit alpha	26	21	760780	881147	311924	591615	1.40377e+06	1.24974e+06	1.24014e+06	1.1067e+06	927642	614864	1.39642e+06	1.01581e+06	1.12028e+06		912021	1.37977e+06	1.57319e+06	1.52578e+06	1.60114e+06	1.27349e+06	2.95391e+06	2.73997e+06	2.54381e+06	2.1369e+06	2.27174e+06	2.68351e+06	2.52445e+06	2.65212e+06	1.77782e+06	2.64508e+06	2.45176e+06	2.71451e+06	2.91956e+06	2.44349e+06	2.55942e+06	2.66101e+06	2.57891e+06	2.51797e+06	1.87736e+06
Q99259	DCE1_HUMAN	GAD1	Glutamate decarboxylase 1	1	1	8562.83	14875.5	14461.1			8405.41	7922.76	2430.27	10528.4			4460.89			8251.82	3976.42	9501.46		11509.2	9525.68	6042.52		4761.02								4819.03	4854.38				3888.67			10337.9
Q99417	MYCBP_HUMAN	MYCBP	c-Myc-binding protein	6	6	2.98153e+06	2.78405e+06	2.77121e+06	3.83238e+06	1.55889e+06	1.9994e+06	2.02282e+06	1.55796e+06	2.15685e+06	2.66548e+06	1.82294e+06	2.48597e+06	1.86947e+06	2.1946e+06	2.06164e+06	1.94564e+06	1.94999e+06	1.68757e+06	2.03219e+06	1.6742e+06	1.46265e+06	1.19921e+06	1.37282e+06	1.66785e+06	1.46839e+06	1.20229e+06	1.43591e+06	2.68909e+06	1.56616e+06	1.21731e+06	1.26372e+06	1.22348e+06	1.23715e+06	1.33728e+06	1.34793e+06	1.1186e+06	1.44725e+06	1.40647e+06	1.98745e+06
Q99418	CYH2_HUMAN	CYTH2	Cytohesin-2	9	8	2.94302e+06	3.52633e+06	2.06825e+06	2.24799e+06	4.02671e+06	4.01734e+06	4.20593e+06	3.7043e+06	3.79907e+06	3.28097e+06	3.82054e+06	3.43385e+06	3.95824e+06	3.72413e+06	4.48556e+06	4.31161e+06	4.66407e+06	4.68358e+06	4.01009e+06	4.1933e+06	5.48555e+06	5.75845e+06	6.03395e+06	6.38481e+06	5.38547e+06	5.64886e+06	5.67266e+06	7.80654e+06	5.65343e+06	5.85985e+06	6.0238e+06	5.94933e+06	6.4748e+06	5.73792e+06	5.34564e+06	5.92539e+06	5.60567e+06	3.54087e+06	5.15576e+06
Q99426	TBCB_HUMAN	TBCB	Tubulin-folding cofactor B	12	12	2.0525e+07	2.44428e+07	1.52702e+07	2.17783e+07	2.49291e+07	2.42364e+07	2.37812e+07	2.15836e+07	2.1041e+07	1.85592e+07	2.48788e+07	2.13755e+07	2.42426e+07	4.68691e+07	2.17887e+07	2.51767e+07	2.48808e+07	2.45078e+07	2.60394e+07	3.00448e+07	2.9207e+07	2.75311e+07	2.90417e+07	3.2947e+07	2.78665e+07	2.49394e+07	2.75573e+07	6.69246e+07	3.88191e+07	2.62231e+07	2.6457e+07	2.49944e+07	3.04529e+07	2.94077e+07	2.83237e+07	2.83753e+07	3.07958e+07	3.33636e+07	3.14574e+07
Q99435	NELL2_HUMAN	NELL2	Protein kinase C-binding protein NELL2	8	8	708677	524425	498367	635580	658764	671465	684987	475819	563360	463627	682919	678766	642165		591135	690618	622865	676844	686443	591869	892128	1.11776e+06	859441	710860	812230	878936	804267	813207	769021	919678	835423	728234	882855	809644	1.00861e+06	868643	991113	768511	877401
Q99436	PSB7_HUMAN	PSMB7	Proteasome subunit beta type-7	8	8	2.03182e+07	2.29785e+07	1.67346e+07	1.63176e+07	2.08793e+07	2.0729e+07	2.2022e+07	1.89812e+07	1.75811e+07	1.78466e+07	2.1539e+07	2.18195e+07	2.05734e+07	2.63192e+07	1.86132e+07	2.08204e+07	1.97899e+07	1.95227e+07	2.10952e+07	2.04248e+07	2.44392e+07	2.37588e+07	2.40604e+07	2.35991e+07	2.24757e+07	2.25282e+07	2.23749e+07	4.62234e+07	2.70815e+07	2.13157e+07	2.18196e+07	2.23097e+07	2.49411e+07	2.23706e+07	2.10159e+07	2.41195e+07	2.3946e+07	2.89744e+07	2.1611e+07
Q99439	CNN2_HUMAN	CNN2	Calponin-2	10	10	2.48472e+07	2.1106e+07	3.07658e+07	2.23051e+07	1.01543e+07	1.56157e+07	1.5393e+07	1.16954e+07	1.64925e+07	2.52565e+07	1.4158e+07	2.60953e+07	1.51662e+07	1.08702e+07	1.65397e+07	1.48734e+07	1.19697e+07	1.26544e+07	1.62732e+07	1.09669e+07	3.49617e+06	2.78502e+06	2.97096e+06	4.52636e+06	3.17655e+06	2.4483e+06	1.8565e+06	9.28708e+06	2.48761e+06	1.90746e+06	2.15466e+06	2.08724e+06	1.20164e+06	1.52626e+06	1.44897e+06	897243	2.09937e+06	1.49114e+06	3.48636e+06
Q99442	SEC62_HUMAN	SEC62	Translocation protein SEC62	12	12	4.66635e+06	3.72752e+06	5.02667e+06	6.00663e+06	4.75687e+06	4.60104e+06	4.64906e+06	5.55513e+06	5.34357e+06	5.14406e+06	4.81003e+06	4.92762e+06	4.79447e+06	4.27421e+06	4.51274e+06	4.99775e+06	4.63199e+06	4.47969e+06	5.21214e+06	5.07659e+06	4.58617e+06	4.20424e+06	4.91581e+06	5.25669e+06	4.89659e+06	5.04526e+06	4.97179e+06	4.14828e+06	4.12232e+06	4.80628e+06	4.75441e+06	4.33599e+06	5.95083e+06	4.7016e+06	4.74224e+06	5.0937e+06	4.59493e+06	6.69118e+06	4.69521e+06
Q99447	PCY2_HUMAN	PCYT2	Ethanolamine-phosphate cytidylyltransferase	18	18	4.52352e+06	4.58279e+06	3.49891e+06	4.41688e+06	5.07125e+06	5.52282e+06	5.24827e+06	4.91298e+06	5.11873e+06	4.38386e+06	4.98505e+06	4.96816e+06	4.76959e+06	6.28075e+06	4.49277e+06	5.15839e+06	5.11392e+06	5.20769e+06	4.94075e+06	5.39788e+06	5.50839e+06	5.19337e+06	5.30956e+06	5.50921e+06	5.03661e+06	4.99835e+06	4.97493e+06	8.68306e+06	5.36039e+06	5.14347e+06	4.78395e+06	5.00427e+06	5.52239e+06	5.1652e+06	5.21666e+06	5.71506e+06	5.60394e+06	5.27957e+06	5.59816e+06
Q99459	CDC5L_HUMAN	CDC5L	Cell division cycle 5-like protein	36	36	9.67739e+06	1.0669e+07	8.96087e+06	1.16952e+07	9.1618e+06	8.8497e+06	8.77323e+06	8.41692e+06	9.12409e+06	9.04285e+06	9.06364e+06	9.303e+06	9.58029e+06	6.36825e+06	9.01397e+06	8.70467e+06	7.94967e+06	7.6633e+06	9.00883e+06	8.53866e+06	7.69103e+06	7.76464e+06	7.47407e+06	7.98521e+06	7.46319e+06	7.05749e+06	6.52545e+06	4.86501e+06	4.77167e+06	6.52526e+06	6.20548e+06	6.42175e+06	7.39687e+06	6.25291e+06	6.79039e+06	6.83247e+06	7.19083e+06	6.68374e+06	8.21558e+06
Q99460	PSMD1_HUMAN	PSMD1	26S proteasome non-ATPase regulatory subunit 1	41	41	1.414e+07	1.54274e+07	1.37874e+07	1.46738e+07	1.66973e+07	1.52812e+07	1.71242e+07	1.73357e+07	1.71364e+07	1.64115e+07	1.57903e+07	1.64061e+07	1.67882e+07	2.2818e+07	1.70625e+07	1.52622e+07	1.58651e+07	1.5799e+07	1.53316e+07	1.40531e+07	1.56951e+07	1.73956e+07	1.60497e+07	1.5347e+07	1.56627e+07	1.61478e+07	1.5376e+07	2.5903e+07	1.37373e+07	1.49859e+07	1.57606e+07	1.41867e+07	1.68722e+07	1.48167e+07	1.54501e+07	1.51185e+07	1.53329e+07	1.42789e+07	1.47729e+07
Q99470	SDF2_HUMAN	SDF2	Stromal cell-derived factor 2	8	8	3.91375e+06	4.38839e+06	4.41031e+06	1.9081e+06	4.49684e+06	4.94153e+06	5.33615e+06	4.60301e+06	5.23332e+06	5.13521e+06	4.78169e+06	5.9089e+06	5.2227e+06		5.31811e+06	4.75025e+06	5.41987e+06	5.76611e+06	4.5691e+06	4.49894e+06	4.82067e+06	5.46743e+06	4.89067e+06	4.36689e+06	4.61959e+06	5.36717e+06	4.9047e+06	2.49282e+06	2.96682e+06	4.81037e+06	5.73738e+06	4.38674e+06	5.08228e+06	4.66128e+06	4.32347e+06	5.0514e+06	4.78145e+06	3.92276e+06	2.91432e+06
Q99471	PFD5_HUMAN	PFDN5	Prefoldin subunit 5	8	8	9.03532e+06	1.26055e+07	8.71369e+06	1.06535e+07	1.19538e+07	1.23944e+07	1.18618e+07	1.12012e+07	1.16088e+07	1.12059e+07	1.32893e+07	1.27643e+07	1.35434e+07	1.76791e+07	1.22352e+07	1.39434e+07	1.40202e+07	1.46979e+07	1.49769e+07	1.81362e+07	1.52791e+07	1.55484e+07	1.81155e+07	1.93362e+07	1.54982e+07	1.401e+07	1.88755e+07	4.4109e+07	2.23743e+07	1.4312e+07	1.35918e+07	1.63601e+07	1.74317e+07	1.6546e+07	1.38186e+07	1.60262e+07	1.64136e+07	1.88501e+07	1.58554e+07
Q99487	PAFA2_HUMAN	PAFAH2	Platelet-activating factor acetylhydrolase 2, cytoplasmic	4	4	38513.5	90471	29178.2		57600.3	63473.4	31044.6	33522.6	51539.4	69474.2	44714.2	49480.1	44021.2		46322.1		55684.8	50489.2	37056.1	54481.1	62903.6	54655.5	36238.4	47367.7	52325.5	60218.6	67976.6		20074.6	61038.8	53974.6	60040	41024.6	34408.5	40457.7	71731.2	75661.5		42164.5
Q99490	AGAP2_HUMAN	AGAP2	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	16	15	485500	625372	278737	429267	897497	797763	799390	853741	796226	541145	838063	711131	1.01029e+06		929630	943859	876600	875292	967044	1.00953e+06	1.18891e+06	1.26849e+06	1.24256e+06	1.26577e+06	1.1704e+06	1.10865e+06	1.16605e+06	1.05209e+06	757798	1.21678e+06	1.06397e+06	1.09003e+06	1.23489e+06	1.06141e+06	1.22873e+06	1.14413e+06	1.19829e+06	1.11079e+06	1.04907e+06
Q99496	RING2_HUMAN	RNF2	E3 ubiquitin-protein ligase RING2	11	9	3.04378e+06	3.66194e+06	2.81024e+06	3.49934e+06	3.36054e+06	3.33349e+06	3.61758e+06	3.60454e+06	3.55965e+06	3.10665e+06	3.59102e+06	3.24233e+06	3.61769e+06		3.45886e+06	3.46045e+06	3.39375e+06	3.44758e+06	3.35228e+06	3.2903e+06	3.05494e+06	3.27174e+06	3.14979e+06	2.84074e+06	3.06735e+06	2.74798e+06	2.74952e+06		1.75474e+06	2.77831e+06	2.88344e+06	2.78332e+06	3.19242e+06	2.42006e+06	2.97299e+06	2.73987e+06	3.08163e+06	2.62067e+06	3.02074e+06
Q99497	PARK7_HUMAN	PARK7	Parkinson disease protein 7	14	14	9.30085e+07	1.14468e+08	7.30102e+07	7.66441e+07	9.66187e+07	1.02626e+08	9.99932e+07	8.4985e+07	9.18937e+07	9.10297e+07	1.12991e+08	9.51024e+07	9.4677e+07	1.87463e+08	9.58333e+07	1.09488e+08	1.12134e+08	1.04236e+08	9.58017e+07	1.31225e+08	1.15174e+08	1.06683e+08	9.84083e+07	1.32031e+08	1.08823e+08	9.71129e+07	9.29463e+07	2.50888e+08	1.44868e+08	1.00338e+08	9.4541e+07	8.91892e+07	9.95667e+07	9.56609e+07	1.01811e+08	1.06317e+08	1.04866e+08	1.11866e+08	1.03982e+08
Q99501	GA2L1_HUMAN	GAS2L1	GAS2-like protein 1	1	1		2238.46	1309.89	8931.19		2483.61		1807.5	2498.48	2446.07	2195.12		2435.03		5555.45	1961.27																							
Q99504	EYA3_HUMAN	EYA3	Eyes absent homolog 3	5	5	232404	222386	211036	203342	145935	125542	169702	139302	162137	191978	138305	217624	186182		155293	182939	142580	157740	130407	125064	147847	193547	130867	189286	160171	231448	192067		115595	163940	150261	166705	164567	122107	193415	153647	166656	139287	148372
Q99519	NEUR1_HUMAN	NEU1	Sialidase-1	5	5	708602	485198	477881	1.21411e+06	520812	625984	507654	454350	532676	614212	346742	565634	390728		421663	576306	374191	384094	675664	423630	368149	352672	283993	372712	359663	357774	367381	372305	406270	265681	301868	208537	433092	343388	395661	336690	327837	624160	386809
Q99523	SORT_HUMAN	SORT1	Sortilin	13	13	1.91069e+06	1.30384e+06	1.8647e+06	3.06888e+06	1.22156e+06	1.59128e+06	1.63114e+06	1.12157e+06	1.3609e+06	1.79124e+06	1.18301e+06	1.92578e+06	1.06476e+06	566081	1.16459e+06	1.40983e+06	1.7241e+06	1.33529e+06	1.54516e+06	848087	739934	625210	635286	534544	764925	721262	750769	1.66226e+06	726213	598341	709453	660040	880183	651450	614082	725532	649885	1.14506e+06	483362
Q99536	VAT1_HUMAN	VAT1	Synaptic vesicle membrane protein VAT-1 homolog	16	16	3.4382e+07	3.9567e+07	2.42497e+07	3.042e+07	4.07814e+07	3.96217e+07	3.94854e+07	3.65957e+07	3.60562e+07	3.28098e+07	4.4335e+07	3.58007e+07	3.79998e+07	6.67589e+07	3.88847e+07	4.6292e+07	5.00694e+07	4.33814e+07	4.1799e+07	5.38938e+07	6.06513e+07	5.02505e+07	5.3177e+07	5.42824e+07	4.81349e+07	4.63162e+07	4.93488e+07	1.83786e+08	7.12181e+07	5.75387e+07	5.3417e+07	5.25761e+07	6.35879e+07	6.14122e+07	4.70006e+07	5.56757e+07	4.98291e+07	9.06376e+07	4.69334e+07
